Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,lifestage,Organism,Platform,ReleaseDate,Sample Name,source_name,SRA Study,timepoint,treatment,sex
SRR11782836,RNA-Seq,300,12178794300,PRJNA632473,SAMN14910469,4636723242,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335288,GSM4550762,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550762,Whole organism,SRP261393,high3,fluctuating,male
SRR11782837,RNA-Seq,300,11204430900,PRJNA632473,SAMN14910468,4669380136,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335289,GSM4550763,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550763,Whole organism,SRP261393,high3,fluctuating,female
SRR11782841,RNA-Seq,300,11869802400,PRJNA632473,SAMN14910507,4922479628,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335293,GSM4550767,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550767,Whole organism,SRP261393,low2,fluctuating,female
SRR11782843,RNA-Seq,300,10559556000,PRJNA632473,SAMN14910505,4267711272,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335295,GSM4550769,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550769,Whole organism,SRP261393,low2,fluctuating,female
SRR11782844,RNA-Seq,300,10502658900,PRJNA632473,SAMN14910504,4222864863,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335296,GSM4550770,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550770,Whole organism,SRP261393,low2,fluctuating,male
SRR11782846,RNA-Seq,300,9218931000,PRJNA632473,SAMN14910502,3752795578,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335298,GSM4550772,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550772,Whole organism,SRP261393,low2,fluctuating,male
SRR11782847,RNA-Seq,300,9648688500,PRJNA632473,SAMN14910501,3658493233,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335299,GSM4550773,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550773,Whole organism,SRP261393,low3,fluctuating,female
SRR11782850,RNA-Seq,300,11823762300,PRJNA632473,SAMN14910498,4756995840,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335302,GSM4550776,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550776,Whole organism,SRP261393,low3,fluctuating,male
SRR11782852,RNA-Seq,300,10375092900,PRJNA632473,SAMN14910496,4170603261,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335304,GSM4550778,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,adult,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550778,Whole organism,SRP261393,low3,fluctuating,male
SRR11782855,RNA-Seq,300,10751789400,PRJNA632473,SAMN14910493,4124425929,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335307,GSM4550781,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,larvae,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550781,Whole organism,SRP261393,high1,fluctuating,
SRR11782857,RNA-Seq,300,10582398900,PRJNA632473,SAMN14910491,4113822544,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335309,GSM4550783,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,larvae,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550783,Whole organism,SRP261393,high1,fluctuating,
SRR11782858,RNA-Seq,300,11227328700,PRJNA632473,SAMN14910490,4500554798,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335310,GSM4550784,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,larvae,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550784,Whole organism,SRP261393,high1,fluctuating,
SRR11782861,RNA-Seq,300,11485118700,PRJNA632473,SAMN14910512,4603600438,GEO,public,"fastq,sra","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8335313,GSM4550787,HiSeq X Ten,PAIRED,cDNA,TRANSCRIPTOMIC,larvae,Drosophila melanogaster,ILLUMINA,2022-04-05T00:00:00Z,GSM4550787,Whole organism,SRP261393,low1,fluctuating,
